candidate_sampler,surrogate_model,placebo_time_taken,trial_total_time
111.05617022514343,71.251704454422,0,182.30787467956543
137.69466471672058,436.31030797958374,0,574.0049726963043
149.76121711730957,246.91956758499146,0,396.680784702301
386.66525387763977,63.799731969833374,0,450.46498584747314
116.12178325653076,274.65379905700684,0,390.7755823135376
304.0047519207001,75.69052338600159,0,379.69527530670166
303.33562994003296,79.2940981388092,0,382.62972807884216
152.85398626327515,246.37457370758057,0,399.2285599708557
152.66906452178955,116.55304336547852,0,269.22210788726807
120.56915760040283,58.39705204963684,0,178.96620965003967
125.30308961868286,172.19429302215576,0,297.4973826408386
309.45342469215393,79.775141954422,0,389.2285666465759
153.53626489639282,170.55722212791443,0,324.09348702430725
166.05777311325073,354.8443126678467,0,520.9020857810974
97.81918787956238,99.92826628684998,0,197.74745416641235
141.90274310112,169.57327842712402,0,311.476021528244
515.3577773571014,146.29234337806702,0,661.6501207351685
177.9408905506134,63.10020852088928,0,241.04109907150269
359.7835190296173,49.96297335624695,0,409.74649238586426
458.43718814849854,355.15890860557556,0,813.5960967540741
79.75424599647522,114.55283188819885,0,194.30707788467407
111.66673922538757,91.40385222434998,0,203.07059144973755
537.0946018695831,41.94147825241089,0,579.036080121994
184.11142253875732,395.83368611335754,0,579.9451086521149
162.8241024017334,60.81072378158569,0,223.6348261833191
161.79950332641602,374.51749062538147,0,536.3169939517975
357.44077610969543,504.52082896232605,0,861.9616050720215
145.04622435569763,87.15609312057495,0,232.20231747627258
137.4953088760376,146.4776713848114,0,283.972980260849
155.08815550804138,480.38273310661316,0,635.4708886146545
177.731201171875,47.693357706069946,0,225.42455887794495
345.0302805900574,1334.2637169361115,0,1679.2939975261688
192.85504984855652,55.36536359786987,0,248.2204134464264
565.9573657512665,343.1270053386688,0,909.0843710899353
140.5553159713745,111.65482211112976,0,252.21013808250427
142.55433821678162,58.38419508934021,0,200.93853330612183
115.09552311897278,107.99429702758789,0,223.08982014656067
100.00978922843933,335.10439109802246,0,435.1141803264618
134.04914665222168,166.8822660446167,0,300.9314126968384
59.27498173713684,85.62802410125732,0,144.90300583839417
168.97023606300354,85.75731658935547,0,254.727552652359
155.21812629699707,358.78998017311096,0,514.008106470108
277.53375244140625,119.19428062438965,0,396.7280330657959
173.92101860046387,162.79352593421936,0,336.7145445346832
110.08887982368469,459.16639852523804,0,569.2552783489227
298.2697916030884,72.92681431770325,0,371.1966059207916
162.91282415390015,106.63624715805054,0,269.5490713119507
